service,resource_id,instance_type,environment,hourly_cost,daily_cost,monthly_cost,currency,type,in_asg,asg_name,engine,multi_az,storage_type,cluster_name,nodegroup_name,deployment_count
EC2,i-03ad60a02a3f6267c,t2.micro,unknown,0.0146,0.3504,10.512,USD,Managed,False,,,,,,,
EC2,i-0d1b194cfaaec09ad,t2.micro,unknown,0.0146,0.3504,10.512,USD,Managed,False,,,,,,,
EC2,i-0773bc163483f0c81,t2.medium,unknown,0.0584,1.4016,42.048,USD,Managed,False,,,,,,,
EC2,i-06d4f6e20e0ce75ff,t2.xlarge,unknown,0.2336,5.6064,168.192,USD,Managed,False,,,,,,,
EC2,i-03d324c2966451b0c,t2.small,unknown,0.0292,0.7008,21.024,USD,Managed,False,,,,,,,
EC2,i-073409690b1333f1b,t3.large,unknown,0.1056,2.5343999999999998,76.032,USD,Managed,False,,,,,,,
EC2,i-0dbe6ae5e21d053a9,t3.small,unknown,0.0264,0.6335999999999999,19.008,USD,Managed,False,,,,,,,
EC2,i-004f01a439f80ab66,t2.small,unknown,0.0292,0.7008,21.024,USD,Managed,False,,,,,,,
EC2,i-0509dcd40a6d931ab,t2.medium,unknown,0.0584,1.4016,42.048,USD,Managed,False,,,,,,,
EC2,i-00b5d66eb38457366,t2.small,unknown,0.0292,0.7008,21.024,USD,Managed,False,,,,,,,
RDS,maindb,db.t3.medium,unknown,0.112,2.688,80.64,USD,,,,postgres,False,gp2,,,
RDS,urm-production,db.t3.small,unknown,0.056,1.344,40.32,USD,,,,postgres,False,gp3,,,
